127.0.0.1 - - [18/Apr/2024:13:52:26 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/login.jsp HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/js/main.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff2 HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.ttf HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.ttf HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:27 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.ttf HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:52:28 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:43 -0500] "GET /signup/registration.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:43 -0500] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:43 -0500] "GET /signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:43 -0500] "GET /signup/images/signup-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:44 -0500] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:44 -0500] "GET /signup/js/main.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:44 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:44 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:44 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff2 HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:44 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:44 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:44 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:44 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.ttf HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:44 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.ttf HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:53:44 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.ttf HTTP/1.1" 404 811
